Product ID,Sale Price,Order ID,Quantity,Order Date
AT7960-104,7995,77455,3,2022-12-12
BQ3610-100,7697,53482,6,2022-12-12
CQ7620-001,9995,82942,8,2022-12-12
BQ3212-600,3695,53262,4,2022-12-12
CK2351-601,7995,13412,5,2022-12-12
CI2668-004,11197,10576,4,2022-12-12
CK0089-100,9797,76493,3,2022-12-12
CK2630-700,9097,20924,8,2022-12-12
BQ4424-700,7697,61354,9,2022-12-12
AQ2210-002,9995,71836,2,2022-12-12
CJ0592-001,16995,12456,2,2022-12-12
BQ5102-400,6597,89836,1,2022-12-12
BQ5467-101,8397,89326,1,2022-12-12
AQ5707-001,7697,96286,8,2022-12-12
AH7378-801,3997,45186,7,2022-12-12
CU0675-300,9797,51992,3,2022-12-12
AJ1285-101,8995,95736,6,2022-12-12
CD4172-606,8495,81995,2,2022-12-12
CK6360-001,6995,35747,1,2022-12-12
AO0570-810,5247,18507,3,2022-12-12
807471-103,6995,82261,7,2022-12-12
AT7995-104,7995,99422,6,2022-12-12
CJ0861-010,9995,51949,6,2022-12-12
CD4363-103,10995,82959,9,2022-12-12
CD5082-001,8995,55492,7,2022-12-12
AT7898-104,22995,59783,6,2022-12-12
CT3110-400,5495,48063,9,2022-12-12
CK9670-100,18995,97615,6,2022-12-12
BQ0129-106,6495,66280,2,2022-12-12
CD0881-104,9995,78691,7,2022-12-12
BV0415-300,7797,10782,2,2022-12-12
BQ3381-600,14995,36058,2,2022-12-12
BV0657-400,6495,19539,5,2022-12-12
AO4568-600,19995,13813,3,2022-12-12
CU5646-001,16995,17539,9,2022-12-12
CD2153-001,10995,27409,5,2022-12-12
CK2351-601,7995,85745,3,2022-12-12
AQ0114-101,19995,64043,8,2022-12-12
AO2607-401,7197,69716,7,2022-12-12
CK0986-002,2097,91948,5,2022-12-12
AR4229-003,12995,79131,9,2022-12-12
BQ5469-703,24995,24407,7,2022-12-12
BQ6826-003,8995,96446,3,2022-12-12
AO4568-600,19995,64738,1,2022-12-12
918194-003,5597,81829,7,2022-12-12
AA8030-108,14995,99167,6,2022-12-12
CJ0625-700,15995,86435,9,2022-12-12
